RPC,#C7B7AE,#C7B7AE,
RPCprolif,#BCA58E,#B8BAAD,
RPCproneural,#B8BAAD,#A76D60,
Npre,#97AF9B,#97AF9B,
RGCpre,#668C69,#668C69,
RGC,#3E6E40,#3E6E40,
HApre,#8BAF5D,#8BAF5D,
PBpre,#50AAAC,#50AAAC,
ONHprog,#A76D60,#BCA58E,#D0BC8D
Transition,#D9C088,,
CN,#F5CC47,#D29DB0,#D9C06B
RG,#faa63f,#faa63f,
CP,#E3483C,#E3483C,
RPE,#994663,#6DA48B,
