None,#F6AE2D,#F6AE2D
SAG,#F26419,#F26419
All,#F22E2E,#F22E2E
BMP,#2F4858,#845182
CHIR,#4266B3,#55DDE0
SU5402,#55DDE0,#4266B3
SU5402:CHIR,#4ECC8F,#4ECC8F
