Image,Retina,Non-retina,RPE,lens,Total area,Unscrambled,treatment,well,plate,top_oligo,perc_retina,perc_non-retina,perc_rpe,perc_lens
d60_XY445_CH4,310713.494,858321.627,35645.1,0,1204680.22,d60_XY66_CH4,SU5402:CHIR,F6,PLATE1,SU5402:CHIR.F6.PLATE1,0.2579219687,0.7124891841,0.02958884807,0
d60_XY783_CH4,497379.783,949109.616,0,78751.033,1525240.43,d60_XY67_CH4,SU5402:CHIR,F7,PLATE1,SU5402:CHIR.F7.PLATE1,0.3260992649,0.622268855,0,0.05163188141
d60_XY791_CH4,406509.814,256492.972,10020.72,14669.13,687692.637,d60_XY68_CH4,SU5402:CHIR,F8,PLATE1,SU5402:CHIR.F8.PLATE1,0.5911213704,0.3729761789,0.0145715098,0.02133093945
d60_XY441_CH4,108299.445,608044.362,60114.6,0,776458.41,d60_XY69_CH4,SU5402:CHIR,F9,PLATE1,SU5402:CHIR.F9.PLATE1,0.1394787456,0.7830997181,0.07742153247,0
d60_XY617_CH4,777434.495,670105.85,206371,130511.897,1784423.24,d60_XY70_CH4,SU5402:CHIR,F10,PLATE1,SU5402:CHIR.F10.PLATE1,0.4356783063,0.3755307793,0.1156513743,0.07313954116
d60_XY872_CH4,78133.695,650597.23,0,0,728730.925,d60_XY71_CH4,SU5402:CHIR,F11,PLATE1,SU5402:CHIR.F11.PLATE1,0.1072188545,0.8927811455,0,0
d60_XY475_CH4,459182.994,654210.721,13519.41,328968.577,1455881.7,d60_XY72_CH4,SU5402:CHIR,F12,PLATE1,SU5402:CHIR.F12.PLATE1,0.3153985616,0.4493570604,0.009286063559,0.2259583158
d60_XY707_CH4,694424.563,528345.905,67102.45,0,1289872.92,d60_XY73_CH4,SU5402:CHIR,G1,PLATE1,SU5402:CHIR.G1.PLATE1,0.5383666501,0.4096108204,0.05202252792,0
d60_XY305_CH4,211630.314,873356.747,121153.4,0,1206140.48,d60_XY74_CH4,SU5402:CHIR,G2,PLATE1,SU5402:CHIR.G2.PLATE1,0.1754607506,0.7240920618,0.1004471718,0
d60_XY328_CH4,255770.795,654432.532,136768.9,0,1046972.27,d60_XY75_CH4,SU5402:CHIR,G3,PLATE1,SU5402:CHIR.G3.PLATE1,0.2442956727,0.6250715045,0.1306327817,0
