#C7B7AE,RPC
#CCA4A8,Proliferating_RPC
#bd6f82,MG
#994663,PAX2high_RLBP1low
#AD6E69,Lens
#845348,Astrocyte
#CFAE94,Forebrain
#D9C06B,Neuron_nonretinal
#D48722,Roof_Plate
#A8BCAB,Npre
#668C69,RGCpre
#3E6E40,RGC
#B8C086,HApre
#DFDD59,Amacrine
#8BAF5D,Horizontal
#50AAAC,PBpre
#458DBF,Cone_RG
#2D63C8,Cone_Blue
#063173,Rod
#A99FA5,Unknown
#695675,OFF_Bipolar
#8D2E8B,ON_Bipolar
